Question,Answer
Il beccheggio del veicolo in curva si oppone alla forza centrifuga,F
Il rollio del veicolo può comportare il ribaltamento del veicolo,V
"Il rollio del veicolo, detto anche coricamento, influisce negativamente sull'aderenza degli pneumatici",V
Il fenomeno del rollio di un veicolo cisterna può essere esaltato allorché si percorra due curve in rapida successione,V
L'entità del fenomeno del rollio dipende dallo stato delle sospensioni,V
Il beccheggio è influenzato dallo stato di usura degli pneumatici,F
Un'autocisterna carica è meno soggetta al fenomeno del beccheggio,F
Il rollio del veicolo è un movimento stabilizzante che non influisce sul carico,F
Il rollio del veicolo non è influenzato dal comportamento di guida,F
"Il baricentro è il punto nel quale, per convenzione, sono da considerarsi applicate le forze agenti sul veicolo",V
La posizione del baricentro varia in funzione sia del carico che del suo posizionamento sul veicolo,V
Il posizionamento del carico del veicolo influenza la posizione del baricentro,V
L'altezza baricentrica del veicolo scarico è costante,V
Il movimento del liquido all'interno di un'autocisterna ne modifica continuamente il baricentro,V
Lo spostamento del baricentro influenza la stabilità del veicolo,V
La differente pressione degli pneumatici di un'asse modifica il baricentro,F
La posizione del baricentro di un veicolo varia con la sua anzianità,F
La posizione del baricentro di un veicolo è ubicato al centro dell'asse delle ruote motrici,F
Il baricentro varia a seconda che il veicolo percorra un rettilineo o una curva,F
Il baricentro di un autobus è il punto di aggancio tra veicolo trattore e rimorchio,F
Le forze resistenti che agiscono su un veicolo sono quelle che si oppongono al suo avanzamento,V
La forza di attrito è una forza che si genera quando due superficie a contatto strisciano tra loro,V
La forza di attrito è la forza dissipativa,V
La forza di attrito contrasta lo scorrimento di superfici a contatto,V
La forza di attrito genera calore,V
La forza di attrito aumenta il rendimento del veicolo,F
La forza di attrito tende a mantenere il veicolo in movimento costante,F
La forza di attrito si oppone alla forza frenante del veicolo,F
La forza di attrito favorisca la diminuzione dei consumi,F
La forza di attrito comporta l'abbassamento del baricentro del veicolo,F
Il coefficiente di aderenza fra pneumatico e asfalto aumenta se l'asfalto è rugoso.,V
Il coefficiente di aderenza fra pneumatico e asfalto diminuisce se l'asfalto è ghiacciato,V
Il coefficiente di aderenza varia fra zero e uno,V
Il coefficiente di aderenza varia fra uno e due,F
Il coefficiente di aderenza aumenta se la superficie è bagnata,F
Il coefficiente di aderenza è più alto sulla ghiaia che sull'asfalto,F
La forza di resistenza aerodinamica all'avanzamento è la resistenza dell'aria all'avanzamento del veicolo,V
La forza di resistenza aerodinamica all'avanzamento è proporzionale al quadrato della velocità del veicolo,V
La forza di resistenza aerodinamica è direttamente proporzionale alla superficie frontale del veicolo,V
La forza di resistenza aerodinamica dipende dal coefficiente di resistenza aerodinamica (cx),V
Il deflettore (spoiler) posto sopra la cabina di un autocarro diminuisce il coefficiente di resistenza aerodinamico(cx),V
Aumentando poco la velocità aumenta molto la resistenza aerodinamica all'avanzamento,V
La resistenza aerodinamica all'avanzamento influisce sul consumo di carburante,V
La resistenza aerodinamica all'avanzamento è direttamente proporzionale alla potenza massima del motore,F
La resistenza aerodinamica all'avanzamento è direttamente proporzionale al peso del veicolo,F
La resistenza aerodinamica all'avanzamento aumenta sulla superficie stradale bagnata,F
La resistenza aerodinamica all'avanzamento è indipendente dalla sua velocità,F
La resistenza aerodinamica all'avanzamento del veicolo è inversamente proporzionale alla sua superficie frontale,F
Il coefficiente di penetrazione aerodinamica (cx) dipende dal peso del veicolo,F
Un veicolo in movimento è dotato di energia cinetica proporzionale alla sua massa,V
Un veicolo in movimento è dotato di energia cinetica tanto maggiore quanto maggiore è la sua velocità,V
In fase di frenatura l'energia cinetica viene dissipata in calore attraverso il sistema frenante,V
L'energia cinetica influisce sullo spazio di frenata del veicolo,V
All'aumentare dell'energia cinetica diminuisce lo spazio di arresto del veicolo,F
L'energia cinetica è proporzionale al coefficiente di resistenza aerodinamica del veicolo (cx),F
L'energia cinetica aumenta con l'aumentare dei tempi di reazione del conducente,F
L'energia cinetica aumenta nella fase di frenatura del veicolo,F
"Se aumenta la pendenza della strada, è opportuno ridurre la marcia",V
Nelle discese ripide bisogna impiegare le marce basse,V
"Per avere una forza di trazione più elevata, occorre utilizzare una marcia più bassa",V
Per raggiungere velocità elevate occorre innestare una marcia più alta,V
"Aumentando il peso del veicolo, aumenta lo sforzo di trazione e occorre innestare una marcia più bassa",V
Nelle discese ripide le marce alte consentono un miglior controllo del veicolo,F
Lo sforzo di trazione aumenta se saliamo di marcia,F
Entrando in una curva di raggio stretto è necessario inserire una marcia più alta,F
Se aumenta la pendenza della strada è opportuno innestare marce più alte,F
Inserendo una marcia più alta diminuisce il coefficiente di penetrazione aerodinamica (cx),F
Lo sbalzo posteriore di un veicolo a due assi è la distanza intercorrente tra l'asse posteriore e il limite della sagoma del veicolo,V
L'oscillazione della parte posteriore di un veicolo è tanto maggiore quanto maggiore è il suo sbalzo,V
"Il rischio di sfregare posteriormente, al termine di una rampa percorsa in discesa, aumenta con la lunghezza dello sbalzo",V
Il rischio di sfregare sull'asfalto all'inizio di una rampa percorsa in salita aumenta con la lunghezza dello sbalzo,V
Il rischio di sfregare posteriormente al termine di una rampa percorsa in discesa aumenta con la lunghezza dello sbalzo anteriore,F
Il rischio di sfregare sull'asfalto all'inizio di una rampa percorsa in salita aumenta con la lunghezza del passo,F
Lo sbalzo di un veicolo a due assi è la distanza fra gli assi stessi,F
All'aumentare dello sbalzo posteriore diminuisce il beccheggio,F
Aumentando lo sbalzo posteriore aumenta l'effetto sottosterzante del veicolo,F
"Si definisce ""strada"" l'area ad uso pubblico destinata alla circolazione dei veicoli dei pedoni e degli animali",V
L'autostrada rientra nella classificazione delle strade,V
L'autostrada è una strada a carreggiate separate prive di intersezioni a raso,V
Le strade extraurbane principali sono prive di intersezione a raso,V
Le strade extraurbane principali sono percorribili solo da alcune categorie di veicoli,V
Le strade extraurbane principali hanno carreggiate indipendenti,V
Le strade extraurbane principali debbono essere attrezzate con apposite aree di servizio,V
"Si definisce ""strada"" qualunque area sulla quale possono transitare pedoni, veicoli, animali",F
L'autostrada ha almeno tre corsie per senso di marcia,F
L'autostrada è percorribile da qualsiasi tipo di veicoli a motore,F
Le strade extraurbane principali hanno intersezioni a raso,F
Le strade extraurbane principali sono percorribili da tutte le categorie di veicoli,F
Le strade extraurbane principali sono tutte strade statali,F
La strada extraurbana principali collegano esclusivamente capoluoghi di provincia,F
E' vietato il trasporto di merci pericolose sulle strade extraurbane principali,F
Le strade extraurbane secondarie debbono essere a carreggiate separate,F
Sulle strade extraurbane secondarie non sussiste l'obbligo delle banchine,F
Le strade extraurbane secondarie sono prive di intersezioni a raso,F
"Gli accessi alle proprietà laterali di una strada extraurbana principale, sono coordinati",V
Le strade extraurbane secondarie hanno almeno una corsia per senso di marcia,V
Le strade extraurbane secondarie sono munite di banchine,V
Le intersezioni a raso sono presenti sulle strade extraurbane secondarie,V
Le strade urbane di scorrimento sono dotate di intersezioni a raso regolamentate da semaforo,V
"Dal punto di vista amministrativo le strade sono suddivise in statali, regionali provinciali comunali",V
Le strade statali possono congiungere fra loro capoluoghi di regione,V
Le strade statali possono congiungere la rete viabile principale dello stato con quelle degli stati limitrofi,V
Le strade regionali collegano i capoluoghi di provincia della stessa regione.,V
Le strade provinciali allacciano al capoluogo di provincia capoluoghi dei singoli comuni di quella stessa provincia,V
Le strade comunali congiungono il capoluogo del comune con le sue frazioni,V
Le strade urbane di scorrimento sono a carreggiata unica e doppio senso di marcia,F
"Dal punto di vista amministrativo le strade sono classificate in, autostrade, strade extraurbane principali, strade extraurbane secondarie
e strade urbane di scorrimento",F
Le strade statali sono di proprietà del comune,F
Le strade statali debbono attraversare almeno tre regioni,F
Le strade regionali collegano i capoluoghi di due regioni diverse,F
Le strade provinciali non hanno intersezioni a raso,F
Le strade comunali sono riservate ai veicoli a motore,F
"I veicoli a motore debbono, di norma, circolare in prossimità del margine destro della carreggiata",V
"Su una carreggiata a tre corsie per senso di marcia si deve percorrere la corsia libera più a destra, salvo diversa segnalazione",V
"Nelle strade extraurbane principali, le corsie diverse da quella di destra sono destinate al sorpasso",V
"Nelle strade extraurbane principali, tutti i veicoli devono ordinariamente marciare sulla corsia di destra",V
"Su un'autostrada con tre corsie per senso di marcia è vietato, ad un autocarro di 7,5 tonnellate di massa a pieno carico, circolare sulla
corsia più a sinistra",V
"Su un'autostrada con tre corsie per senso di marcia è consentito ad un autobus lungo 6,5 m e di massa a pieno carico di 7,5 t. di circolare
sulla corsia più a sinistra",V
"Nei centri abitati la manovra di retromarcia è vietata ai veicoli di massa a pieno carico superiore a 3,5 tonnellate",F
"Su un'autostrada con tre corsie per senso di marcia è consentito, ad un autobus lungo 8 metri e di massa a pieno carico inferiore a 5
tonnellate, di circolare sulla corsia più a sinistra",F
"Nei centri abitati è di regola vietata la circolazione dei veicoli di massa a pieno carico superiore a 7,5 t. sui binari tranviari a raso",F
"In presenza di isola salvagente alla fermata del tram, il passaggio dei veicoli è consentita a sinistra e vietata a destra",F
La marcia per file parallele è vietata ai veicoli di massa superiore a 12 tonnellate,F
La marcia per file parallele è vietata ai veicoli aventi lunghezza superiore a 12 metri,F
"Nei centri abitati è consentito impegnare la corsia più opportuna in relazione alla direzione che i veicoli intendono prendere alla
successiva intersezione",V
"All'interno dei centri abitati, salvo diversa segnalazione, quando una carreggiata è a due o più corsie per senso di marcia, si deve
percorrere la corsia libera più a destra",V
"Quando una strada è divisa in due carreggiate separate, è obbligatorio circolare su quella di destra",V
La marcia per file parallele è vietata nelle carreggiate a due corsie a doppio senso di marcia,V
La marcia per file parallele può essere disposta dall'agente del traffico,V
Nelle strade extraurbane principali a tre corsie per senso di marcia la corsia di destra è riservata alla marcia dei veicoli lenti,F
Nelle autostrade a tre corsie per senso di marcia la corsia di destra è riservata ai veicoli che vi si immettono o ne escono,F
"Sulle strade extraurbane principali a tre corsie per senso di marcia, il sorpasso può essere effettuato utilizzando una qualunque delle tre
corsie",F
"Sulle strade extraurbane principali a tre corsie per senso di marcia, la corsia di destra è riservata agli autobus e agli autocarri",F
La svolta dei veicoli alle intersezioni è condizionata dal loro passo e dagli sbalzi,V
Per svoltare a destra i conducenti devono porre particolare attenzione alla parte posteriore interna del veicolo,V
"Per svoltare in corrispondenza di un'intersezione è opportuno che i conducenti di un autobus attendano che sia libera l'area
dell'intersezione che l'autobus dovrà impegnare",V
"Il conducente di un veicolo pesante, superando pedoni e ciclisti deve tenersi ad adeguata distanza laterale da essi",V
"Nel predisporsi a svoltare a destra nelle intersezioni è obbligatorio, per i veicoli di lunghezza superiore a 7 metri, spostarsi sul lato sinistro
della carreggiata",F
"Percorrendo le rotatorie a due corsie, i veicoli pesanti devono circolare sulla corsia di sinistra",F
Nelle svolte a destra è consentito salire sul marciapiede con la ruota posteriore interna a bassa velocità,F
"Percorrendo una carreggiata a due corsie per senso di marcia, un veicolo superiore a 7 metri deve circolare obbligatoriamente sulla
corsia di destra",F
"Il conducente la cui marcia è ostacolata da un cantiere, deve dare la precedenza ai veicoli che prevengono in senso opposto",V
"Quando l'incrocio tra due veicoli non sia possibile per la presenza di un ostacolo, il conducente la cui marcia è ostacolata, deve dare la
precedenza ai veicoli provenienti in senso opposto",V
"Su strade a forte pendenza, in caso di incrocio malagevole, il veicolo che procede in discesa, deve di regola arrestarsi e dare la
precedenza",V
"Su strade a forte pendenza, in caso di incrocio malagevole, il veicolo che procede in salita, se dispone di una piazzola di sosta, deve dare
la precedenza",V
"Se un autotreno ed un autobus si incrociano su una strada in pendenza dove non sia possibile il loro transito contemporaneo, la manovra
di retromarcia compete all'autobus",V
"Su strade a forte pendenza, in caso di incrocio malagevole, il veicolo che procede in salita, se dispone di una piazzola di sosta, ha la
precedenza",F
"Se un autotreno ed un autobus si incrociano su una strada in pendenza dove non sia possibile il loro transito contemporaneo, la manovra
di retromarcia compete all'autotreno",F
"Se un autocarro o un autobus si incrociano su strade di montagna dove non sia possibile il loro transito contemporaneo, l'eventuale
manovra di retromarcia compete all'autobus",F
"Se un'autovettura e un autotreno si incrociano su strade di montagna dove non sia possibile il loro transito contemporaneo, l'eventuale
manovra di retromarcia compete all'autotreno",F
"Se due autobus si incrociano su strade forte pendenza, dove non sia possibile il loro transito contemporaneo, la manovra di retromarcia,
se necessaria, compete al veicolo che procede in salita",F
"Se sulle strade di montagna l'incrocio tra un veicolo di massa massima complessiva è inferiore al 3,5 t con altro di massa massima complessiva superiore a 3,5 t.. sia malagevole, la retromarcia deve essere effettuata dal veicolo più pesante",F
"Se un autocarro o un autobus si incrociano su strade di montagna dove non sia possibile il loro transito contemporaneo, l'eventuale
manovra di retromarcia compete all'autocarro",V
"Se un'autovettura e un autotreno si incrociano su strade di montagna dove non sia possibile il loro transito contemporaneo, l'eventuale
manovra di retromarcia compete all'autovettura",V
"Se due autobus si incrociano su strade forte pendenza, dove non sia possibile il loro transito contemporaneo, la manovra di retromarcia,
se necessaria, compete al veicolo che procede in discesa",V
"Se sulle strade di montagna l'incrocio tra un veicolo di massa massima complessiva è inferiore al 3,5 t con altro di massa massima complessiva superiore a 3, 5 t..sia malagevole, la retromarcia deve essere effettuata dal veicolo più leggero",V
"Se due autobus si incrociano su strade a forte pendenza, dove non sia possibile il loro transito contemporaneo, la manovra di
retromarcia, se necessaria, compete al veicolo che procede in salita",F
"Il conducente la cui marcia è ostacolata da un cantiere, ha la precedenza nei confronti dei veicoli che prevengono in senso opposto",F
"Quando l'incrocio tra due veicoli non sia possibile per la presenza di un ostacolo, il conducente la cui marcia è ostacolata, ha la
precedenza nei confronti dei veicoli provenienti in senso opposto",F
"Su strade a forte pendenza, in caso di incrocio malagevole, il veicolo che procede in salita, deve di regola arrestarsi e dare la precedenza",F
La frenatura del veicolo comporta la dissipazione di energia cinetica posseduta dal veicolo,V
Lo spazio di frenata è proporzionale al quadrato della velocità,V
Una brusca frenata potrebbe causare un pericoloso spostamento delle merci trasportate nel vano di carico,V
Entro i limiti di aderenza lo spazio di frenata non dipende dal peso del veicolo,V
Una brusca frenata potrebbe essere causa di lesioni per i passeggeri dell'autobus,V
La guida anticipata consiste nell'agire bruscamente sul pedale del freno,F
La guida anticipata consente di procedere con il cambio in folle nell'avvicinamento ad un semaforo con luce rossa.,F
La frenata brusca sovraccarica l'asse posteriore,F
La frenata brusca diminuisce il carico sull'asse anteriore,F
La frenata brusca provoca l'impennarsi del veicolo,F
La frenata agisce sia sul veicolo sia sui passeggeri,V
Per arrestare un veicolo nello spazio minimo il conducente deve evitare il bloccaggio delle ruote,V
"In curva una brusca frenata, può causare perdita di aderenza allo pneumatico",V
La guida anticipata consente di prevedere condizioni di criticità,V
La guida anticipata consente di prevedere situazioni di rischio per consentire frenate graduali e non brusche,V
Le brusche frenate determinano un usura più rapida dei freni,V
Per arrestare un veicolo nello spazio minimo il conducente deve intervenire energicamente sul rallentatore e non sul freno,F
Lo spazio di frenata è inversamente proporzionale al quadrato della velocità,F
La frenata agisce sul veicolo ma non sui passeggeri,F
Per ottenere una frenata graduale occorre agire ad intermittenza sul pedale del freno,F
In caso di brusca frenata il carico del veicolo potrebbe cadere all'indietro,F
Nei freni a disco la ventilazione delle parti in strisciamento è maggiore rispetto al freno a tamburo,V
Il surriscaldamento dei freni ne provoca una diminuzione di efficienza,V
"A parità di forza frenante, i freni a disco si surriscaldano meno di quelli a tamburo",V
I freni a tamburo comprendono ganasce e ferodi,V
I freni a tamburo hanno una maggiore superficie di attrito dei freni a disco,V
Nell'impianto frenante oleopneumatico la pressione pneumatica è convertita in pressione idraulica,V
Il modulatore di pressione in funzione del carico è regolato dal conducente in funzione dl carico trasportato,F
Il distributore a mano agisce sul rallentatore di velocità,F
Il distributore a mano scarica aria compressa dei freni a molla sia dell'assale anteriore che posteriore,F
Il distributore a mano dell'impianto frenante invia aria al bielemento frenante per effettuare la frenatura di stazionamento,F
Il convertitore pneumo-idraulico mette in pressione l'olio del circuito di lubrificazione dell'impianto frenante,F
Il convertitore pneumo-idraulico è posto fra i serbatoi dell'aria del distributore duplex,F
Il convertitore pneumo-idraulico genera pressione pneumatica destinata ad agire sugli elementi frenanti,F
L'impianto frenante oleopneumatico utilizza aria compressa ed olio,V
L'impianto frenante oleopneumatico sfrutta la bassa comprimibilità dell'olio,V
L'impianto frenante oleopneumatico è dotato di una pompa pneumoidraulica,V
Il circuito frenante pneumo-idraulico prevede la contemporanea presenza di aria ed olio,V
Il circuito frenante pneumo-idraulico è dotato di deumidificatore,V
Il circuito frenante pneumo-idraulico è dotato di un regolatore di pressione,V
L'insufficiente temperatura del motore impedisce al veicolo di mettersi in movimento,F
Il convertitore pneumo-idraulico consente in curva alla ruota esterna di adeguarsi al numero di giri della ruota interna,F
Il convertitore pneumo-idraulico genera aria in pressione destinata agli elementi frenanti,F
Il modulatore di pressione in funzione del carico consente di variare l'altezza del pianale del veicolo,F
Il convertitore pneumo-idraulico converte la pressione idraulica in pressione pneumatica,F
Il convertitore pneumo-idraulico consente l'inserimento di marce ridotte,F
Il circuito frenante pneumo-idraulico è dotato di serbatoio dell'aria,V
I serbatoi dell'impianto frenante oleo-pneumatico sono muniti di valvola di protezione,V
L'impianto frenante oleo-pneumatico è munito di un distributore duplex,V
L'impianto frenante oleo-pneumatico è munito di distributore a mano,V
L'impianto frenante oleo-pneumatico è munito di modulatore di pressione in funzione del carico,V
L'impianto frenante oleo-pneumatico è munito di convertitore pneumo-idraulico,V
Il modulatore di pressione in funzione del carico al bloccaggio delle ruote riduce la pressione dell'aria su tutti gli elementi frenanti,F
Il distributore duplex distribuisce la differente velocità di rotazione delle ruote motrici in curva,F
Il distributore duplex distribuisce l'aria nei serbatoi dell'impianto frenate,F
Il compressore dell'impianto frenante comprime l'olio destinato ad agire sugli elementi frenanti,F
Il compressore dell'impianto frenante riceve il movimento dell'albero di trasmissione,F
Il compressore dell'impianto frenate è costituito da satelliti e da planetari,F
Il compressore dell'impianto frenante oleo-pneumatico è comandato dall'albero motore,V
Il manometro dell'impianto frenante indica la pressione nei serbatoi dell'aria dell'impianto frenante,V
Nel circuito frenante oleo-pneumatico l'olio è contenuto nel convertitore pneumo-idraulico,V
Il convertitore pneumo-idraulico utilizza la pressione dell'aria per comprimere l'olio,V
Il convertitore pneumo-idraulico amplifica la forza esercitata dal conducente sul pedale del freno,V
Il distributore duplex consente il passaggio dell'aria compressa contenuta nei serbatoi verso l'impianto frenante,V
Nell'impianto frenante pneumatico integrale i serbatoi contengono olio per il circuito frenante,F
La temperatura dell'aria all'interno del serbatoio del circuito frenate è segnalata dall'apposito manometro,F
Talune anomalie dell'impianto di raffreddamento sono rilevabili attraverso il controllo del manometro,F
Il manometro dell'olio misura la pressione dell'olio dell'impianto frenante,F
La presenza di impurità nel serbatoio dell'aria è misurata da un apposito manometro,F
I serbatoi dell'impianto frenante sono collaudati alla pressione di un' atmosfera,F
Il distributore duplex consente di modulare l'intensità della frenata,V
Il convertitore pneumo-idraulico mette in pressione l'olio che agisce sugli elementi frenanti,V
Il compressore dell'impianto frenante riceve il movimento dall'albero motore,V
Il compressore dell'impianto frenante aspira e comprime aria,V
I serbatoi dell'impianto frenante accumulano aria destinata ai freni,V
Il convertitore pneumo-idraulico converte la pressione pneumatica in pressione idraulica,V
I serbatoi dell'impianto frenante immagazzinano l'aria generata durante la fase di compressione nei cilindri del motore,F
L'anticongelatore dell'impianto frenante evita che l'olio contenuto nel convertitore ghiacci,F
Il depuratore dell'impianto frenante depura le impurità nell'olio contenute nel convertitore,F
